city,pollutant,mean_pollution,day,month,year,month_name
Toronto,CO,0.24583333333333335,8,10,2002,NA
Toronto,CO,0.4166666666666667,9,10,2002,NA
Toronto,CO,0.5666666666666667,10,10,2002,NA
Toronto,CO,0.425,11,10,2002,NA
Toronto,CO,0.2875,12,10,2002,NA
Toronto,CO,0.18333333333333335,13,10,2002,NA
Toronto,CO,0.2,14,10,2002,NA
Toronto,CO,0.425,15,10,2002,NA
Toronto,CO,0.3958333333333333,16,10,2002,NA
Toronto,CO,0.15000000000000002,17,10,2002,NA
Toronto,CO,0.32916666666666666,18,10,2002,NA
Toronto,CO,0.25833333333333336,19,10,2002,NA
Toronto,CO,0.225,20,10,2002,NA
Toronto,CO,0.35833333333333334,21,10,2002,NA
Toronto,CO,0.3958333333333333,22,10,2002,NA
Toronto,CO,0.31666666666666665,23,10,2002,NA
Toronto,CO,0.6208333333333333,24,10,2002,NA
Toronto,CO,0.5041666666666667,25,10,2002,NA
Toronto,CO,0.4083333333333333,26,10,2002,NA
Toronto,CO,0.35,27,10,2002,NA
Toronto,CO,0.45833333333333337,28,10,2002,NA
Toronto,CO,0.425,29,10,2002,NA
Toronto,CO,0.38333333333333336,30,10,2002,NA
Toronto,CO,0.4708333333333333,31,10,2002,NA
Toronto,CO,0.3416666666666667,1,11,2002,NA
Toronto,CO,0.41250000000000003,2,11,2002,NA
Toronto,CO,0.48333333333333334,3,11,2002,NA
Toronto,CO,0.4708333333333333,4,11,2002,NA
Toronto,CO,0.5875,5,11,2002,NA
Toronto,CO,0.4625,6,11,2002,NA
Toronto,CO,0.5083333333333333,7,11,2002,NA
Toronto,CO,0.475,8,11,2002,NA
Toronto,CO,0.43333333333333335,9,11,2002,NA
Toronto,CO,0.5416666666666666,10,11,2002,NA
Toronto,CO,0.4625,11,11,2002,NA
Toronto,CO,0.4875,12,11,2002,NA
Toronto,CO,0.5791666666666667,13,11,2002,NA
Toronto,CO,0.5916666666666667,14,11,2002,NA
Toronto,CO,0.5291666666666667,15,11,2002,NA
Toronto,CO,0.5333333333333333,16,11,2002,NA
Toronto,CO,0,17,11,2002,NA
Toronto,CO,0.45416666666666666,18,11,2002,NA
Toronto,CO,0.8208333333333333,19,11,2002,NA
Toronto,CO,0.7375,20,11,2002,NA
Toronto,CO,0.8,21,11,2002,NA
Toronto,CO,0.5833333333333333,22,11,2002,NA
Toronto,CO,0.6416666666666666,23,11,2002,NA
Toronto,CO,0.7208333333333333,24,11,2002,NA
Toronto,CO,0.7541666666666667,25,11,2002,NA
Toronto,CO,0.7374999999999999,26,11,2002,NA
Toronto,CO,0.7458333333333333,27,11,2002,NA
Toronto,CO,0.75,28,11,2002,NA
Toronto,CO,0.75,29,11,2002,NA
Toronto,CO,0.7,30,11,2002,NA
Toronto,CO,0.7041666666666666,1,12,2002,NA
Toronto,CO,0.7541666666666667,2,12,2002,NA
Toronto,CO,0.8125,3,12,2002,NA
Toronto,CO,0.8250000000000001,4,12,2002,NA
Toronto,CO,1.0791666666666666,5,12,2002,NA
Toronto,CO,0.8291666666666667,6,12,2002,NA
Toronto,CO,0.8458333333333333,7,12,2002,NA
Toronto,CO,0.8125,8,12,2002,NA
Toronto,CO,0.9,9,12,2002,NA
Toronto,CO,0.9791666666666667,10,12,2002,NA
Toronto,CO,1.7625,11,12,2002,NA
Toronto,CO,1.4375,12,12,2002,NA
Toronto,CO,1.2583333333333333,13,12,2002,NA
Toronto,CO,0.9625,14,12,2002,NA
Toronto,CO,1,15,12,2002,NA
Toronto,CO,0.9041666666666667,16,12,2002,NA
Toronto,CO,1.0833333333333333,17,12,2002,NA
Toronto,CO,0.9583333333333334,18,12,2002,NA
Toronto,CO,1.2583333333333333,19,12,2002,NA
Toronto,CO,0.9166666666666667,20,12,2002,NA
Toronto,CO,0.9,21,12,2002,NA
Toronto,CO,0.9041666666666667,22,12,2002,NA
Toronto,CO,0.9125,23,12,2002,NA
Toronto,CO,0.9833333333333334,24,12,2002,NA
Toronto,CO,0.9375,25,12,2002,NA
Toronto,CO,0.9208333333333334,26,12,2002,NA
Toronto,CO,1.0208333333333333,27,12,2002,NA
Toronto,CO,1.0625,28,12,2002,NA
Toronto,CO,1.0791666666666666,29,12,2002,NA
Toronto,CO,1.1083333333333334,30,12,2002,NA
Toronto,CO,1.0041666666666667,31,12,2002,NA
Toronto,NO,10.958333333333334,1,1,2002,NA
Toronto,NO,22.958333333333332,2,1,2002,NA
Toronto,NO,25.375,3,1,2002,NA
Toronto,NO,14.833333333333334,4,1,2002,NA
Toronto,NO,12.5,5,1,2002,NA
Toronto,NO,27.125,6,1,2002,NA
Toronto,NO,26.75,7,1,2002,NA
Toronto,NO,13.541666666666666,8,1,2002,NA
Toronto,NO,26.25,9,1,2002,NA
Toronto,NO,36.958333333333336,10,1,2002,NA
Toronto,NO,25.833333333333332,11,1,2002,NA
Toronto,NO,10.416666666666666,12,1,2002,NA
Toronto,NO,5.875,13,1,2002,NA
Toronto,NO,3,14,1,2002,NA
Toronto,NO,25.5,15,1,2002,NA
Toronto,NO,20.375,16,1,2002,NA
Toronto,NO,14.708333333333334,17,1,2002,NA
