Pollutant,January,February,March,April,May,June,July,August,September,October,November,December,Average,StdDeviation,Year
O3,18,20,29,29,32,26,30,24,19,14,13,13,22,14,2018
PM2.5,10,9,5,6,9,7,8,10,6,6,6,9,8,6,2018
SO2,1,0.5,0.2,0.3,0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.2,0.3,0.6,2018
NO,3,3,1,2,2,2,2,2,2,3,2,3,2,4,2018
NO2,15,16,11,12,12,10,9,9,8,11,13,15,12,7,2018
NOX,18,19,12,14,15,12,11,11,10,14,15,18,14,10,2018
O3,21,23,29,31,37,31,35,31,23,17,16,14,26,13,2018
PM2.5,10,10,6,7,9,7,9,11,6,5,5,10,8,6,2018
NO,7,8,3,5,5,4,3,3,4,7,6,9,5,11,2018
NO2,19,19,13,16,16,13,13,12,10,13,15,17,15,9,2018
NOX,26,27,17,21,21,17,15,15,14,20,21,27,20,19,2018
O3,19,21,28,29,31,25,30,26,21,16,16,15,23,12,2018
PM2.5,10,10,6,8,10,7,8,9,6,6,7,11,8,6,2018
CO,0.32,0.33,0.32,0.34,0.32,0.29,NA,0.35,0.31,0.32,0.32,0.37,0.32,0.14,2018
NO,20,23,22,22,17,17,15,16,17,26,27,26,21,26,2018
NO2,22,24,20,23,19,16,15,16,13,17,20,20,19,11,2018
NOX,42,47,42,45,36,33,30,33,30,43,47,46,39,34,2018
O3,15,17,23,24,28,23,27,20,16,11,10,11,19,14,2018
PM2.5,12,13,7,9,10,8,8,10,6,7,8,11,9,7,2018
SO2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.2,0.2,0.3,0.3,0.2,0.3,0.5,2018
CO,0.24,0.24,0.19,0.21,0.22,0.18,0.2,0.23,0.19,0.2,0.2,0.24,0.21,0.07,2018
NO,5,4,2,3,2,0,0,0,1,3,3,6,2,7,2018
NO2,16,14,7,11,10,7,8,7,7,10,13,15,10,8,2018
NOX,21,18,9,14,11,7,8,8,7,14,16,21,13,13,2018
O3,19,24,32,32,38,31,34,28,21,16,16,15,25,14,2018
PM2.5,11,10,5,7,9,7,9,9,5,5,6,10,8,6,2018
SO2,0.4,0.3,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.1,0.3,0.6,2018
NO,5,4,5,3,3,2,2,2,3,4,5,5,3,8,2019
NO2,13,14,15,9,7,8,8,7,7,9,13,14,10,9,2019
NOX,18,19,19,11,10,10,10,8,11,12,18,19,14,15,2019
O3,22,26,31,31,28,27,28,25,22,19,17,18,25,11,2019
PM2.5,7,8,9,6,6,7,8,6,6,5,9,8,7,5,2019
CO,0.24,0.26,0.27,0.24,0.24,0.23,0.23,0.23,0.25,0.24,0.24,0.25,0.24,0.1,2019
NO,9,8,9,5,7,6,5,5,8,11,10,8,8,15,2019
NO2,18,19,20,13,11,11,10,11,12,14,17,18,15,10,2019
NOX,28,27,28,17,18,17,16,16,20,24,27,26,22,22,2019
O3,18,22,27,28,24,26,28,23,20,16,14,15,22,13,2019
PM2.5,8,8,9,6,6,7,9,6,6,6,8,8,7,5,2019
SO2,0.2,0.3,0.4,0.3,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.5,2019
NO,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
NO2,14,15,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
NOX,17,18,16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
O3,19,27,32,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
PM2.5,7,9,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
NO,8,7,7,4,5,5,3,3,6,8,8,8,6,13,2019
NO2,18,18,20,15,13,14,11,9,12,13,17,18,15,10,2019
NOX,26,25,27,19,18,19,14,12,19,22,25,26,21,21,2019
O3,19,24,27,27,23,24,25,23,20,16,15,16,22,11,2019
PM2.5,8,9,10,7,7,8,8,6,7,7,9,9,8,6,2019
CO,0.34,0.35,0.36,0.31,0.31,0.31,0.32,0.34,0.36,0.33,0.3,0.31,0.33,0.14,2019
NO,25,22,25,15,19,17,15,18,20,25,26,23,21,26,2019
NO2,22,23,26,18,16,16,15,15,15,16,20,22,19,11,2019
NOX,46,45,50,33,35,33,30,33,36,41,46,45,39,35,2019
O3,16,19,22,24,20,21,21,18,16,13,11,12,18,12,2019
PM2.5,9,11,11,7,7,8,9,7,7,7,10,11,9,7,2019
SO2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.4,2019
CO,0.22,0.23,0.23,0.21,0.2,0.19,0.2,0.19,0.19,0.18,0.19,0.22,0.2,0.08,2019
NO,5,3,4,2,2,2,1,1,2,3,4,4,3,8,2019
NO2,14,14,16,11,8,8,7,6,7,9,13,15,11,9,2019
NOX,19,18,20,12,9,9,9,8,10,12,17,19,13,15,2019
