File generated on // Fichier créé sur ,23/09/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant, CO // CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppm // ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available. // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant,NAPS ID // Identifiant SNPA,City // Ville,P/T // P/T,Latitude // Latitude,Longitude // Longitude,Date // Date,H01 // H01,H02 // H02,H03 // H03,H04 // H04,H05 // H05,H06 // H06,H07 // H07,H08 // H08,H09 // H09,H10 // H10,H11 // H11,H12 // H12,H13 // H13,H14 // H14,H15 // H15,H16 // H16,H17 // H17,H18 // H18,H19 // H19,H20 // H20,H21 // H21,H22 // H22,H23 // H23,H24 // H24
CO,10102,St Johns,NL,47.56038,-52.7115,20160209,0.14,0.14,0.12,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.23,0.21,0.12,0.13,0.21,0.14,0.27,0.22,0.14,0.14,0.13,0.12,0.14,0.12
CO,10102,St Johns,NL,47.56038,-52.7115,20160210,0.11,0.12,0.14,0.13,0.12,0.11,0.44,0.63,0.2,0.13,0.13,0.12,0.12,0.12,0.15,0.14,0.15,0.13,0.13,0.13,0.12,0.12,0.15,0.12
CO,10102,St Johns,NL,47.56038,-52.7115,20160211,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.14,0.14,0.15,0.15,0.16,0.15,0.18,0.17,0.23,0.22,0.25,0.2,0.16,0.13,0.13,0.15,0.16
CO,10102,St Johns,NL,47.56038,-52.7115,20160212,0.17,0.16,0.18,0.2,0.14,0.13,0.14,0.22,0.31,0.33,0.29,0.15,0.14,0.16,0.15,0.17,0.22,0.18,0.14,0.13,0.13,0.13,0.13,0.12
CO,10102,St Johns,NL,47.56038,-52.7115,20160213,0.12,0.11,0.11,0.12,0.12,0.11,0.12,0.14,0.17,0.19,0.16,0.14,0.14,0.17,0.19,0.15,0.15,0.16,0.24,0.32,0.32,0.21,0.19,0.68
CO,10102,St Johns,NL,47.56038,-52.7115,20160214,0.15,0.14,0.12,0.17,0.13,0.11,0.11,0.11,0.11,0.13,0.15,0.13,0.15,0.15,0.15,0.15,0.14,0.26,0.23,0.31,0.2,0.28,0.32,0.24
CO,10102,St Johns,NL,47.56038,-52.7115,20160215,0.15,0.12,0.11,0.11,0.11,0.1,0.19,0.12,0.13,0.13,0.12,0.12,0.13,0.13,0.13,0.14,0.15,0.15,0.13,0.13,0.12,0.12,0.12,0.13
CO,10102,St Johns,NL,47.56038,-52.7115,20160216,0.12,0.11,0.11,0.11,0.11,0.13,0.13,0.2,0.27,0.16,0.14,0.08,0.08,0.08,0.08,0.07,0.09,0.1,0.09,0.08,0.07,0.07,0.07,0.06
CO,10102,St Johns,NL,47.56038,-52.7115,20160217,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.06,0.06,0.06,0.12,0.13,0.12,0.13,0.13,0.15,0.13,0.11,0.12,0.11,0.11,0.11,0.1
CO,10102,St Johns,NL,47.56038,-52.7115,20160218,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.11,0.15,0.13,0.12,0.1,0.16,0.18,0.24,0.2,0.29,0.19,0.18,0.17,0.18,0.19,0.19,0.23
CO,10102,St Johns,NL,47.56038,-52.7115,20160219,0.2,0.15,0.15,0.15,0.12,0.11,0.11,0.13,0.13,0.14,0.15,0.16,0.22,0.17,0.21,0.18,0.22,0.21,0.16,0.21,0.18,0.26,0.22,0.26
CO,10102,St Johns,NL,47.56038,-52.7115,20160220,0.23,0.24,0.28,0.17,0.14,0.12,0.11,0.12,0.13,0.12,0.13,0.14,0.14,0.16,0.2,0.23,0.24,0.23,0.24,0.25,0.26,0.37,0.44,0.45
CO,10102,St Johns,NL,47.56038,-52.7115,20160221,0.49,0.51,0.42,0.39,0.33,0.24,0.21,0.22,0.2,0.13,0.12,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07
CO,10102,St Johns,NL,47.56038,-52.7115,20160222,0.09,0.07,0.07,0.07,0.07,0.06,0.06,0.07,0.08,0.08,0.08,0.13,0.14,0.17,0.18,0.19,0.21,0.23,0.2,0.18,0.23,0.21,0.23,0.22
CO,10102,St Johns,NL,47.56038,-52.7115,20160223,0.15,0.14,0.13,0.13,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.14,0.15,0.16,0.15,0.19,0.19,0.23,0.25,0.27,0.23,0.22,0.24
CO,10102,St Johns,NL,47.56038,-52.7115,20160224,0.21,0.21,0.21,0.2,0.21,0.22,0.24,0.34,0.39,0.35,0.17,0.13,0.14,0.14,0.15,0.15,0.19,0.19,0.2,0.2,0.15,0.14,0.14,0.13
