File generated on // Fichier créé sur, 2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppm // ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant ,NAPS ID//Identifiant SNPA,City//Ville,P/T//P/T,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
CO,10102,St Johns,NL,47.56038,-52.71147,20170220,0.13,0.14,0.14,0.18,0.13,0.32,0.33,0.2,0.18,0.18,0.22,0.21,0.21,0.25,0.22,0.16,0.28,0.2,0.22,0.18,0.21,0.17,0.19,0.34
CO,10102,St Johns,NL,47.56038,-52.71147,20170221,0.24,0.2,0.2,0.13,0.12,0.16,0.19,0.18,0.15,0.14,0.16,0.16,0.19,0.21,0.17,0.18,0.25,0.18,0.19,0.16,0.16,0.19,0.21,0.25
CO,10102,St Johns,NL,47.56038,-52.71147,20170222,0.38,0.17,0.2,0.14,0.19,0.14,0.12,0.16,0.18,0.24,0.15,0.19,0.2,0.24,0.19,0.22,0.28,0.16,0.3,0.22,0.26,0.19,0.18,0.29
CO,10102,St Johns,NL,47.56038,-52.71147,20170223,0.53,0.2,0.19,0.18,0.13,0.12,0.13,0.14,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.18,0.14,0.17,0.17,0.17,0.18,0.22,0.24
CO,10102,St Johns,NL,47.56038,-52.71147,20170224,0.17,0.15,0.13,0.13,0.12,0.12,0.11,0.13,0.14,0.12,0.12,0.12,0.14,0.15,0.15,0.15,0.17,0.13,0.2,0.22,0.23,0.25,0.33,0.24
CO,10102,St Johns,NL,47.56038,-52.71147,20170225,0.27,0.14,0.13,0.15,0.14,0.13,0.14,0.15,0.17,0.16,0.18,0.16,0.16,0.18,0.19,0.2,0.21,0.15,0.17,0.17,0.14,0.16,0.16,0.14
CO,10102,St Johns,NL,47.56038,-52.71147,20170226,0.14,0.13,0.14,0.13,0.14,0.15,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.12,0.1,0.12,0.12,0.1,0.09,0.09
CO,10102,St Johns,NL,47.56038,-52.71147,20170227,0.09,0.09,0.09,0.09,0.1,0.1,0.09,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.14,0.11,0.14,0.14,0.13,0.13,0.12,0.12
CO,10102,St Johns,NL,47.56038,-52.71147,20170228,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.12,0.13,0.12,0.12,0.13,0.13,0.13
CO,10102,St Johns,NL,47.56038,-52.71147,20170301,0.12,0.12,0.11,0.11,0.12,0.11,0.11,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.14,0.16,0.14,0.14,0.13,0.12,0.13,0.12,0.12
