File generated on // Fichier créé sur, 2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppm // ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant ,NAPS ID//Identifiant SNPA,City//Ville,P/T//P/T,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
CO,100119,Burnaby,BC,49.21519,-122.985666,20170413,0.17,0.15,0.14,0.14,0.17,0.2,0.24,0.22,0.22,0.22,0.19,0.19,0.2,0.16,0.16,0.17,0.19,0.22,0.19,0.19,0.24,0.21,0.2,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170414,0.16,0.16,0.15,0.15,0.15,0.15,0.17,0.17,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.17,0.16,0.18,0.16,0.16,0.15,0.15
CO,100119,Burnaby,BC,49.21519,-122.985666,20170415,0.16,0.15,0.15,-999,0.16,0.16,0.15,0.14,0.15,0.15,0.16,0.15,0.16,0.17,0.17,0.17,0.16,0.14,0.2,0.2,0.21,0.18,0.17,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170416,0.16,0.15,0.16,0.18,0.18,0.19,0.2,0.25,0.22,0.24,0.21,0.19,0.21,0.25,0.2,0.19,0.2,0.25,0.28,0.26,0.2,0.21,0.25,0.22
CO,100119,Burnaby,BC,49.21519,-122.985666,20170417,0.16,0.15,0.14,0.16,0.17,0.21,0.25,0.25,0.24,0.21,0.2,0.2,0.19,0.18,0.18,0.19,0.21,0.25,0.19,0.18,0.17,0.18,0.18,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170418,0.17,0.15,0.15,-999,0.15,0.18,0.19,0.22,0.21,0.14,0.15,0.14,0.15,0.16,0.17,0.16,0.16,0.22,0.18,0.21,0.2,0.18,0.18,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170419,0.16,0.15,0.15,0.15,0.16,0.17,0.19,0.2,0.2,0.21,0.19,0.22,0.2,0.18,0.19,0.19,0.19,0.2,0.2,0.22,0.23,0.21,0.17,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170420,0.17,0.17,0.16,0.16,0.18,0.21,0.26,0.25,0.24,0.24,0.21,0.18,0.2,0.2,0.19,0.18,0.2,0.25,0.22,0.21,0.26,0.25,0.23,0.24
CO,100119,Burnaby,BC,49.21519,-122.985666,20170421,0.23,0.2,0.18,-999,0.2,0.19,0.22,0.22,0.19,0.22,0.22,0.18,0.17,0.17,0.2,0.22,0.23,0.22,0.28,0.27,0.2,0.2,0.18,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170422,0.19,0.18,0.17,0.18,0.18,0.18,0.21,0.23,0.34,0.36,0.34,0.27,0.17,0.17,0.19,0.18,0.19,0.23,0.17,0.17,0.17,0.16,0.19,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170423,0.18,0.17,0.14,0.15,0.15,0.15,0.15,0.16,0.18,0.17,0.18,0.16,0.15,0.15,0.18,0.15,0.17,0.16,0.17,0.18,0.18,0.16,0.14,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170424,0.18,0.16,0.15,-999,0.15,0.19,0.25,0.19,0.17,0.16,0.18,0.19,0.19,0.16,0.16,0.16,0.16,0.19,0.15,0.18,0.23,0.24,0.2,0.23
CO,100119,Burnaby,BC,49.21519,-122.985666,20170425,0.22,0.18,0.16,0.15,0.15,0.16,0.14,0.16,0.14,0.15,0.17,0.16,0.14,0.13,0.15,0.16,0.16,0.16,0.18,0.18,0.2,0.16,0.17,0.17
CO,100119,Burnaby,BC,49.21519,-122.985666,20170426,0.15,0.14,0.14,0.15,0.16,0.19,0.23,0.29,-999,0.16,0.16,0.15,0.16,0.16,0.16,0.17,0.17,0.29,0.17,0.16,0.17,0.16,0.15,0.14
CO,100119,Burnaby,BC,49.21519,-122.985666,20170427,0.14,0.15,0.15,-999,0.16,0.18,0.2,0.19,0.17,0.15,0.16,0.15,0.15,0.15,0.16,0.17,0.16,0.19,0.17,0.2,0.19,0.2,0.17,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170428,0.19,0.17,0.18,0.18,0.17,0.2,0.2,0.24,0.19,0.2,0.2,0.19,0.16,0.2,0.15,0.16,0.16,0.24,0.15,0.17,0.2,0.28,0.19,0.21
CO,100119,Burnaby,BC,49.21519,-122.985666,20170429,0.19,0.15,0.15,0.14,0.14,0.17,0.19,0.18,0.17,0.21,0.2,0.2,0.24,0.2,0.19,0.19,0.23,0.18,0.22,0.21,0.21,0.2,0.18,0.19
CO,100119,Burnaby,BC,49.21519,-122.985666,20170430,0.18,0.17,0.15,-999,0.14,0.18,0.17,0.15,0.14,0.15,0.14,0.14,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.16,0.2,0.22,0.21,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170501,0.14,0.14,0.15,0.16,0.15,0.19,0.2,0.21,0.23,0.17,0.15,0.17,0.17,0.15,0.17,0.19,0.2,0.21,0.16,0.21,0.22,0.22,0.27,0.27
CO,100119,Burnaby,BC,49.21519,-122.985666,20170502,0.22,0.15,0.15,0.17,0.18,0.2,0.23,0.23,0.28,0.2,0.21,0.18,0.18,0.18,0.18,0.16,0.17,0.23,0.19,0.22,0.28,0.21,0.16,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170503,0.15,0.14,0.14,-999,0.14,0.16,0.18,0.19,0.35,0.28,0.43,0.22,0.37,0.21,0.21,0.22,0.23,0.19,0.22,0.23,0.17,0.19,0.17,0.17
CO,100119,Burnaby,BC,49.21519,-122.985666,20170504,0.17,0.2,0.22,0.21,0.24,0.2,0.3,0.32,0.26,0.25,0.23,0.22,0.23,0.23,0.18,0.21,0.24,0.32,0.24,0.2,0.26,0.26,0.22,0.22
CO,100119,Burnaby,BC,49.21519,-122.985666,20170505,0.15,0.14,0.12,0.13,0.14,0.12,0.14,0.17,0.15,0.13,0.13,0.13,0.13,0.15,0.18,0.16,0.17,0.17,0.16,0.16,0.16,0.17,0.16,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170506,0.18,0.15,0.14,-999,0.15,0.17,0.17,0.19,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.19,0.17,0.18,0.22,0.21,0.24,0.22
CO,100119,Burnaby,BC,49.21519,-122.985666,20170507,0.22,0.18,0.2,0.18,0.15,0.16,0.18,0.16,0.16,0.18,0.17,0.16,0.15,0.15,0.15,0.17,0.17,0.16,0.16,0.16,0.18,0.21,0.21,0.17
CO,100119,Burnaby,BC,49.21519,-122.985666,20170508,0.17,0.16,0.15,0.17,0.17,0.21,0.25,0.31,0.22,0.2,0.23,0.21,0.19,0.2,0.19,0.18,0.19,0.31,0.18,0.19,0.19,0.2,0.18,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170509,0.19,0.2,0.18,-999,0.19,0.19,0.25,0.28,0.25,0.23,0.2,0.2,0.19,0.17,0.19,0.2,0.19,0.28,0.22,0.21,0.26,0.24,0.27,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170510,0.22,0.18,0.16,0.17,0.16,0.19,0.21,0.32,0.28,0.25,0.2,0.2,0.18,0.19,0.22,0.2,0.24,0.32,0.22,0.17,0.25,0.24,0.24,0.3
CO,100119,Burnaby,BC,49.21519,-122.985666,20170511,0.21,0.15,0.19,0.19,0.16,0.18,0.19,0.22,0.18,0.19,0.22,0.18,0.16,0.2,0.19,0.2,0.18,0.22,0.18,0.21,0.18,0.16,0.16,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170512,0.15,0.14,0.14,-999,0.13,0.17,0.2,0.2,0.15,0.14,0.14,0.14,0.14,0.15,0.17,0.15,0.16,0.2,0.15,0.15,0.17,0.17,0.18,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170513,0.16,0.17,0.17,0.17,0.15,0.15,0.19,0.18,0.18,0.17,0.16,0.17,0.15,0.14,0.14,0.15,0.14,0.18,0.15,0.14,0.15,0.2,0.19,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170514,0.17,0.17,0.15,0.14,0.13,0.14,0.14,0.14,0.15,0.15,0.18,0.17,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.16,0.17,0.16,0.19,0.17
CO,100119,Burnaby,BC,49.21519,-122.985666,20170515,0.16,0.15,0.14,-999,0.16,0.2,0.19,0.21,0.19,0.17,0.17,0.17,0.18,0.17,0.16,0.18,0.19,0.21,0.18,0.17,0.16,0.14,0.14,0.14
CO,100119,Burnaby,BC,49.21519,-122.985666,20170516,0.13,0.13,0.13,0.13,0.14,0.15,0.18,0.19,0.2,0.2,0.16,0.16,0.16,0.18,0.18,0.17,0.15,0.19,0.14,0.15,0.19,0.17,0.16,0.15
CO,100119,Burnaby,BC,49.21519,-122.985666,20170517,0.17,0.17,0.17,0.17,0.18,0.2,0.23,0.22,0.23,0.21,0.22,0.22,0.2,0.19,0.2,0.18,0.17,0.22,0.16,0.18,0.19,0.19,0.21,0.17
CO,100119,Burnaby,BC,49.21519,-122.985666,20170518,0.16,0.15,0.15,-999,0.15,0.2,0.26,0.29,0.2,0.23,0.21,0.19,0.18,0.27,0.2,0.18,0.21,0.29,0.19,0.2,0.22,0.27,0.22,0.19
CO,100119,Burnaby,BC,49.21519,-122.985666,20170519,0.19,0.19,0.18,0.24,0.23,0.22,0.28,0.33,0.24,0.24,0.21,0.22,0.21,0.19,0.2,0.2,0.2,0.33,0.22,0.23,0.2,0.21,0.24,0.22
CO,100119,Burnaby,BC,49.21519,-122.985666,20170520,0.25,0.19,0.17,0.18,0.17,0.2,0.18,0.23,0.22,0.22,0.21,0.21,0.2,0.16,0.15,0.16,0.18,0.23,0.18,0.19,0.19,0.19,0.21,0.23
CO,100119,Burnaby,BC,49.21519,-122.985666,20170521,0.21,0.16,0.19,-999,0.14,0.14,0.17,0.22,0.21,0.16,0.17,0.18,0.18,0.18,0.19,0.16,0.14,0.22,0.15,0.21,0.25,0.21,0.22,0.2
CO,100119,Burnaby,BC,49.21519,-122.985666,20170522,0.16,0.17,0.17,0.13,0.14,0.16,0.16,0.26,0.23,0.24,0.19,0.19,0.2,0.2,0.2,0.2,0.22,0.26,0.21,0.25,0.31,0.23,0.24,0.24
CO,100119,Burnaby,BC,49.21519,-122.985666,20170523,0.22,0.22,0.18,0.17,0.18,0.2,0.26,0.32,0.32,0.24,0.2,0.17,0.16,0.14,0.14,0.14,0.11,0.32,0.11,0.11,0.11,0.11,0.1,0.1
CO,100119,Burnaby,BC,49.21519,-122.985666,20170524,0.1,0.1,0.11,-999,0.13,0.14,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.14,0.16,0.15,0.16,0.17,0.16,0.17,0.17,0.15,0.15,0.2
CO,100119,Burnaby,BC,49.21519,-122.985666,20170525,0.2,0.19,0.19,0.17,0.18,0.17,0.17,0.23,0.2,0.17,0.18,0.17,0.17,0.17,0.18,0.16,0.18,0.23,0.15,0.16,0.16,0.15,0.17,0.19
CO,100119,Burnaby,BC,49.21519,-122.985666,20170526,0.19,0.17,0.17,0.15,0.14,0.22,0.25,0.29,0.2,0.19,0.2,0.18,0.18,0.16,0.18,0.2,0.19,0.29,0.17,0.2,0.24,0.29,0.24,0.26
CO,100119,Burnaby,BC,49.21519,-122.985666,20170527,0.2,0.16,0.16,-999,0.17,0.18,0.2,0.23,0.23,0.23,0.21,0.18,0.18,0.17,0.18,0.16,0.15,0.23,0.17,0.14,0.25,0.21,0.18,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170528,0.15,0.18,0.19,0.16,0.14,0.15,0.19,0.18,0.22,0.22,0.23,0.22,0.21,0.22,0.22,0.2,0.2,0.18,0.25,0.23,0.27,0.2,0.2,0.23
CO,100119,Burnaby,BC,49.21519,-122.985666,20170529,0.25,0.17,0.18,0.16,0.24,0.3,0.25,0.27,0.24,0.16,0.17,0.17,0.17,0.2,0.22,0.22,0.19,0.27,0.17,0.16,0.15,0.2,0.19,0.14
CO,100119,Burnaby,BC,49.21519,-122.985666,20170530,0.12,0.12,0.12,-999,0.13,0.14,0.17,0.19,0.15,0.12,0.15,0.15,0.14,0.14,0.19,0.2,0.2,0.19,0.16,0.17,0.16,0.16,0.16,0.14
CO,100119,Burnaby,BC,49.21519,-122.985666,20170531,0.14,0.12,0.12,0.12,0.13,0.16,0.17,0.16,0.17,0.18,0.17,0.17,0.16,0.16,0.18,0.19,0.19,0.16,0.22,0.24,0.22,0.28,0.27,0.21
CO,100119,Burnaby,BC,49.21519,-122.985666,20170601,0.18,0.18,0.18,0.14,0.15,0.16,0.18,0.23,0.16,0.19,0.34,0.2,0.16,0.12,0.13,0.14,0.13,0.23,0.12,0.12,0.13,0.16,0.15,0.14
CO,100119,Burnaby,BC,49.21519,-122.985666,20170602,0.12,0.12,0.11,-999,0.12,0.14,0.17,0.14,0.14,0.12,0.12,0.12,0.13,0.13,0.13,0.12,0.12,0.14,0.17,0.16,0.18,0.15,0.14,0.13
CO,100119,Burnaby,BC,49.21519,-122.985666,20170603,0.13,0.15,0.15,0.17,0.19,0.16,0.14,0.12,0.12,0.14,0.14,0.14,0.13,0.13,0.15,0.14,0.13,0.12,0.14,0.13,0.15,0.16,0.15,0.2
CO,100119,Burnaby,BC,49.21519,-122.985666,20170604,0.23,0.19,0.15,0.16,0.17,0.16,0.16,0.14,0.15,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.14,0.14,0.16,0.21,0.17
CO,100119,Burnaby,BC,49.21519,-122.985666,20170605,0.16,0.14,0.14,-999,0.14,0.16,0.19,0.19,0.16,0.16,0.16,0.19,0.21,0.18,0.16,0.17,0.17,0.19,0.16,0.19,0.24,0.24,0.2,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170606,0.15,0.16,0.17,0.17,0.14,0.18,0.22,0.3,0.23,0.23,0.22,0.23,0.21,0.22,0.2,0.17,0.16,0.3,0.18,0.19,0.25,0.19,0.22,0.24
CO,100119,Burnaby,BC,49.21519,-122.985666,20170607,0.22,0.15,0.14,0.14,0.17,0.21,0.25,0.23,0.19,0.17,0.18,-999,0.2,0.2,0.21,0.2,0.18,0.23,0.14,0.15,0.14,0.17,0.11,0.11
CO,100119,Burnaby,BC,49.21519,-122.985666,20170608,0.1,0.11,0.11,-999,0.15,0.16,0.2,0.22,0.24,0.27,0.22,0.18,0.15,0.14,0.16,0.16,0.17,0.22,0.12,0.13,0.12,0.12,0.13,0.13
CO,100119,Burnaby,BC,49.21519,-122.985666,20170609,0.11,0.12,0.14,0.15,0.14,0.16,0.18,0.17,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.17,0.15,0.17,0.14,0.14,0.16,0.25,0.22,0.2
CO,100119,Burnaby,BC,49.21519,-122.985666,20170610,0.22,0.19,0.14,0.13,0.14,0.15,0.15,0.14,0.16,0.17,0.15,0.15,0.16,0.16,0.15,0.14,0.14,0.14,0.13,0.14,0.15,0.14,0.17,0.19
CO,100119,Burnaby,BC,49.21519,-122.985666,20170611,0.18,0.19,0.16,-999,0.18,0.16,0.14,0.15,0.15,0.15,0.14,0.15,0.13,0.14,0.13,0.12,0.13,0.15,0.14,0.16,0.17,0.21,0.19,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170612,0.15,0.14,0.13,0.13,0.19,0.2,0.19,0.19,0.17,0.15,0.14,0.14,0.13,0.13,0.13,0.12,0.11,0.19,0.11,0.13,0.15,0.13,0.11,0.1
CO,100119,Burnaby,BC,49.21519,-122.985666,20170613,0.11,0.11,0.12,0.11,0.11,0.13,0.15,0.18,0.15,0.15,0.17,0.15,0.15,0.15,0.14,0.14,0.15,0.18,0.15,0.15,0.14,0.16,0.15,0.14
CO,100119,Burnaby,BC,49.21519,-122.985666,20170614,0.13,0.13,0.13,-999,0.14,0.16,0.16,0.17,0.17,0.16,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.17,0.15,0.15,0.15,0.19,0.18,0.15
CO,100119,Burnaby,BC,49.21519,-122.985666,20170615,0.14,0.15,0.13,0.12,0.12,0.14,0.17,0.18,0.18,0.16,0.17,0.17,0.16,0.15,0.15,0.15,0.18,0.18,0.15,0.14,0.14,0.12,0.12,0.14
CO,100119,Burnaby,BC,49.21519,-122.985666,20170616,0.16,0.15,0.14,0.15,0.15,0.16,0.21,0.19,0.13,0.12,0.12,0.12,0.11,0.12,0.13,0.1,0.11,0.19,0.13,0.12,0.16,0.16,0.16,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170617,0.13,0.16,0.15,-999,0.15,0.14,0.16,0.17,0.21,0.16,0.13,0.11,0.12,0.12,0.13,0.12,0.12,0.17,0.14,0.13,0.15,0.16,0.12,0.13
CO,100119,Burnaby,BC,49.21519,-122.985666,20170618,0.16,0.17,0.18,0.14,0.13,0.14,0.13,0.14,0.15,0.16,0.17,0.19,0.17,0.19,0.17,0.16,0.17,0.14,0.19,0.18,0.23,0.25,0.23,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170619,0.14,0.14,0.14,0.15,0.16,0.24,0.3,0.37,0.47,0.4,0.23,0.24,0.23,0.26,0.2,0.18,0.22,0.37,0.18,0.21,0.19,0.2,0.19,0.17
CO,100119,Burnaby,BC,49.21519,-122.985666,20170620,0.19,0.26,0.23,-999,0.17,0.21,0.22,0.23,0.22,0.15,0.13,0.12,0.18,0.16,0.17,0.14,0.14,0.23,0.15,0.13,0.13,0.13,0.14,0.12
CO,100119,Burnaby,BC,49.21519,-122.985666,20170621,0.11,0.13,0.15,0.14,0.15,0.19,0.18,0.16,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.16,0.13,0.14,0.16,0.14,0.15,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170622,0.13,0.12,0.14,0.14,0.14,-999,-999,-999,-999,-999,-999,-999,0.16,0.14,0.14,0.15,0.15,-999,0.13,0.16,0.22,0.2,0.18,0.24
CO,100119,Burnaby,BC,49.21519,-122.985666,20170623,0.2,0.2,0.18,-999,0.16,0.18,0.19,0.22,0.2,0.17,0.17,0.16,0.15,0.27,0.13,0.16,0.15,0.22,0.13,0.13,0.17,0.2,0.22,0.23
CO,100119,Burnaby,BC,49.21519,-122.985666,20170624,0.18,0.14,0.14,0.14,0.14,0.2,0.23,0.31,0.28,0.24,0.2,0.18,0.17,0.17,0.19,0.16,0.19,0.31,0.16,0.16,0.21,0.21,0.17,0.17
CO,100119,Burnaby,BC,49.21519,-122.985666,20170625,0.15,0.16,0.12,0.11,0.12,0.14,0.17,0.18,0.19,0.18,0.22,0.26,0.21,0.21,0.24,0.21,0.18,0.18,0.24,0.25,0.22,0.25,0.19,0.23
CO,100119,Burnaby,BC,49.21519,-122.985666,20170626,0.18,0.17,0.15,-999,0.17,0.2,0.21,0.2,0.22,0.16,0.16,0.14,0.15,0.13,0.12,0.11,0.13,0.2,0.12,0.12,0.11,0.09,0.09,0.1
CO,100119,Burnaby,BC,49.21519,-122.985666,20170627,0.14,0.2,0.21,0.17,0.16,0.17,0.19,0.19,0.16,0.15,0.13,0.13,0.14,0.14,0.15,0.16,0.15,0.19,0.15,0.15,0.15,0.16,0.17,0.17
CO,100119,Burnaby,BC,49.21519,-122.985666,20170628,0.14,0.16,0.15,0.15,0.16,0.17,0.18,0.19,0.17,0.2,0.15,0.13,0.13,0.12,0.12,0.11,0.13,0.19,0.12,0.12,0.13,0.14,0.13,0.15
CO,100119,Burnaby,BC,49.21519,-122.985666,20170629,0.22,0.19,0.19,-999,0.18,0.15,0.18,0.26,0.18,0.13,0.13,0.14,0.16,0.16,0.17,0.16,0.17,0.26,0.17,0.15,0.18,0.2,0.2,0.15
CO,100119,Burnaby,BC,49.21519,-122.985666,20170630,0.15,0.22,0.25,0.23,0.23,0.26,0.21,0.26,0.25,0.24,0.23,0.22,0.2,0.18,0.17,0.17,0.17,0.26,0.14,0.16,0.16,0.18,0.23,0.27
CO,100119,Burnaby,BC,49.21519,-122.985666,20170701,0.19,0.15,0.14,0.12,0.11,0.09,0.1,0.1,0.1,0.12,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.11,0.14,0.19,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170702,0.13,0.11,0.11,-999,0.09,0.1,0.1,0.11,0.11,0.13,0.12,0.13,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.13,0.16,0.14,0.14,0.12
CO,100119,Burnaby,BC,49.21519,-122.985666,20170703,0.11,0.11,0.13,0.13,0.14,0.14,0.11,0.09,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.11,0.12,0.09,0.13,0.14,0.15,0.17,0.19,0.19
CO,100119,Burnaby,BC,49.21519,-122.985666,20170704,0.18,0.18,0.19,0.17,0.16,0.18,0.18,0.21,0.21,0.2,0.18,0.19,0.17,0.16,0.14,0.14,0.14,0.21,0.14,0.16,0.18,0.15,0.17,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170705,0.21,0.2,0.18,-999,0.17,0.2,0.27,0.28,0.27,0.28,0.26,0.23,0.21,0.19,0.19,0.18,0.18,0.28,0.19,0.22,0.23,0.21,0.17,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170706,0.25,0.19,0.15,0.16,0.2,0.19,0.23,0.24,0.2,0.2,0.19,0.2,0.18,0.17,0.17,0.2,0.19,0.24,0.16,0.16,0.17,0.16,0.17,0.25
CO,100119,Burnaby,BC,49.21519,-122.985666,20170707,0.24,0.21,0.16,0.14,0.18,0.18,0.15,0.15,0.15,0.14,0.14,0.13,0.12,0.11,0.11,0.12,0.12,0.15,0.14,0.14,0.15,0.15,0.13,0.12
CO,100119,Burnaby,BC,49.21519,-122.985666,20170708,0.11,0.12,0.11,-999,0.13,0.18,0.15,0.16,0.16,0.15,0.16,0.17,0.15,0.15,0.18,0.18,0.18,0.16,0.14,0.13,0.16,0.16,0.2,0.21
CO,100119,Burnaby,BC,49.21519,-122.985666,20170709,0.15,0.2,0.12,0.15,0.14,0.13,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.13,0.15,0.14,0.14,0.12,0.13,0.14,0.14,0.14,0.12,0.1
CO,100119,Burnaby,BC,49.21519,-122.985666,20170710,0.09,0.1,0.1,0.13,0.13,0.17,0.16,0.16,0.15,0.14,0.13,0.13,0.11,0.11,0.12,0.12,0.14,0.16,0.12,0.11,0.11,0.11,0.11,0.1
CO,100119,Burnaby,BC,49.21519,-122.985666,20170711,0.1,0.09,0.09,-999,0.15,0.23,0.22,0.23,0.22,0.17,0.16,0.16,0.15,0.14,0.13,0.13,0.13,0.23,0.12,0.12,0.13,0.13,0.17,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170712,0.13,0.11,0.1,0.1,0.11,0.12,0.15,0.15,0.15,0.14,0.12,0.12,0.12,0.13,0.13,0.14,0.13,0.15,0.13,0.12,0.13,0.13,0.11,0.19
CO,100119,Burnaby,BC,49.21519,-122.985666,20170713,0.23,0.17,0.14,0.12,0.12,0.15,0.16,0.15,0.15,0.16,0.3,0.16,0.16,0.12,0.12,0.11,0.11,0.15,0.12,0.13,0.13,0.14,0.18,0.2
CO,100119,Burnaby,BC,49.21519,-122.985666,20170714,0.2,0.17,0.14,-999,0.19,0.19,0.21,0.24,0.26,0.26,0.21,0.18,0.18,0.16,0.15,0.14,0.14,0.24,0.13,0.14,0.17,0.14,0.18,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170715,0.17,0.18,0.14,0.14,0.15,0.17,0.14,0.15,0.15,0.13,0.14,0.12,0.11,0.11,0.12,0.11,0.11,0.15,0.12,0.12,0.12,0.12,0.12,0.12
CO,100119,Burnaby,BC,49.21519,-122.985666,20170716,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.12,0.12,0.13,0.13,0.14,0.16
CO,100119,Burnaby,BC,49.21519,-122.985666,20170717,0.17,0.15,0.16,-999,0.13,0.15,0.2,0.17,-999,0.16,0.15,0.14,0.13,0.13,0.13,0.13,0.18,0.17,0.17,0.18,0.18,0.18,0.15,0.13
CO,100119,Burnaby,BC,49.21519,-122.985666,20170718,0.14,0.18,0.18,0.18,0.21,0.25,0.23,0.28,0.26,0.2,0.15,0.15,0.16,0.2,0.2,0.16,0.15,0.28,0.16,0.15,0.13,0.2,0.19,0.18
CO,100119,Burnaby,BC,49.21519,-122.985666,20170719,0.16,0.12,0.13,0.12,0.1,0.13,0.14,0.14,0.14,0.14,0.15,0.12,0.12,0.12,0.12,0.14,0.16,0.14,0.12,0.12,0.14,0.21,0.19,0.13
CO,100119,Burnaby,BC,49.21519,-122.985666,20170720,0.16,0.13,0.12,-999,0.11,0.13,0.14,0.14,0.15,0.12,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.14,0.11,0.12,0.14,0.14,0.15,0.15
CO,100119,Burnaby,BC,49.21519,-122.985666,20170721,0.12,0.12,0.12,0.11,0.11,0.14,0.17,0.17,0.16,0.17,0.17,0.15,0.13,0.14,0.16,0.17,0.18,0.17,0.21,0.21,0.26,0.28,0.27,0.19
CO,100119,Burnaby,BC,49.21519,-122.985666,20170722,0.14,0.12,0.12,0.1,0.11,0.13,0.13,0.14,0.15,0.17,0.17,0.15,0.15,0.14,0.15,0.14,0.14,0.14,0.16,0.18,0.17,0.2,0.19,0.23
CO,100119,Burnaby,BC,49.21519,-122.985666,20170723,0.2,0.15,0.14,-999,0.15,0.12,0.12,0.13,0.11,0.12,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.13,0.12,0.11,0.14,0.16,0.17,0.21
CO,100119,Burnaby,BC,49.21519,-122.985666,20170724,0.23,0.21,0.17,0.17,0.17,0.17,0.16,0.19,0.17,0.18,0.18,0.17,0.17,0.16,0.18,0.18,0.17,0.19,0.13,0.15,0.19,0.19,0.18,0.23
CO,100119,Burnaby,BC,49.21519,-122.985666,20170725,0.25,0.22,0.19,0.19,0.18,0.2,0.26,0.32,0.29,0.23,0.22,0.18,0.19,0.19,0.2,0.2,0.22,0.32,0.19,0.18,0.2,0.22,0.2,0.14
CO,100119,Burnaby,BC,49.21519,-122.985666,20170726,0.14,0.15,0.15,-999,0.15,0.16,0.28,0.29,-999,0.19,0.17,0.15,0.14,0.15,0.13,0.13,0.13,0.29,0.2,0.14,0.19,0.24,0.21,0.21
CO,100119,Burnaby,BC,49.21519,-122.985666,20170727,0.13,0.11,0.12,0.13,0.11,0.16,0.16,0.14,0.13,0.13,0.14,0.12,0.11,0.11,0.11,0.11,0.1,0.14,0.11,0.13,0.14,0.15,0.18,0.14
CO,100119,Burnaby,BC,49.21519,-122.985666,20170728,0.12,0.11,0.11,0.11,0.11,0.13,0.15,0.16,0.17,0.15,0.15,0.13,0.14,0.14,0.15,0.13,0.14,0.16,0.13,0.14,0.16,0.2,0.23,0.23
