*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2021-06-23"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","Classification","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete","","","","","","","","","","","",""
"040103","Fredericton","437 Aberdeen Street","45.957318","-66.646719","21","PE,MU,P3,R","PM2.5","5","4","4","4","4","6","7","7","7","7","7","7","6","4","98","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","NO","0","0","0","1","1","1","1","1","1","1","1","1","1","2","98","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","NO2","2","4","2","3","3","4","5","4","3","3","2","3","3","4","97","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","NOX","2","4","3","4","4","5","6","4","4","4","3","3","4","5","98","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","O3","32","34","36","35","28","23","22","21","21","23","25","32","28","9","100","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","PM2.5","4","6","5","6","5","6","12","11","12","10","9","8","8","5","96","","","","","","","","","","","",""
"040203","Saint John","Mountain Road","45.308762","-66.008384","41","PS,MU,P3,R","SO2","0.5","0.9","0.7","1.8","1.8","2.3","4.3","5","2.2","0.6","0.4","0.3","1.7","4.6","99","","","","","","","","","","","",""
"040206","Saint John","189 Prince William","45.269677","-66.06151","29","PE,MU,P3,R","CO","0.19","0.2","","","","","","","","","","","","","18","","","","","","","","","","","",""
"040206","Saint John","189 Prince William","45.269677","-66.06151","29","PE,MU,P3,R","NO","1","2","","","","","","","","","","","","","18","","","","","","","","","","","",""
"040206","Saint John","189 Prince William","45.269677","-66.06151","29","PE,MU,P3,R","NO2","4","5","","","","","","","","","","","","","18","","","","","","","","","","","",""
"040206","Saint John","189 Prince William","45.269677","-66.06151","29","PE,MU,P3,R","NOX","5","6","","","","","","","","","","","","","18","","","","","","","","","","","",""
