Pollutant:, CO
Units:, ppm
Data is hour ending local standard time.
Note:,Zeros are valid. -999 denotes no data available.

Pollutant,NAPSID,City,P/T,Latitude,Longitude,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
CO,010102,St Johns,NL,47.56038,-52.7115,20130209,0.22,0.27,0.27,0.23,0.18,0.19,0.22,0.22,0.26,0.35,0.29,0.25,0.20,0.16,0.18,0.24,0.16,0.20,0.18,0.15,0.15,0.27,0.27,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20130210,0.15,0.18,0.16,0.22,0.17,0.15,0.14,0.19,0.23,0.41,0.88,0.54,0.89,0.61,0.44,0.41,0.28,0.28,0.45,0.29,0.26,0.28,0.27,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20130211,0.21,0.14,0.13,0.15,0.13,0.12,0.13,0.14,0.15,0.14,0.15,0.16,0.14,0.15,0.15,0.18,0.21,0.17,0.17,0.16,0.16,0.20,0.25,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20130212,0.15,0.15,0.13,0.14,0.14,0.17,0.19,0.31,0.45,0.41,-999,-999,0.16,0.18,0.20,0.20,0.16,0.16,0.18,0.13,0.13,0.14,0.13,0.13
CO,010102,St Johns,NL,47.56038,-52.7115,20130213,0.13,0.13,0.13,0.15,0.15,0.14,0.14,0.18,0.22,0.19,0.16,0.16,0.15,0.14,0.15,0.15,0.16,0.18,0.16,0.16,0.16,0.15,0.15,0.15
CO,010102,St Johns,NL,47.56038,-52.7115,20130214,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.16,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.17,0.27,0.26,0.29,0.20,0.30,0.21,0.23,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20130215,0.17,0.14,0.14,0.16,0.13,0.12,0.12,0.14,0.17,0.14,0.14,0.15,0.19,0.18,0.15,0.16,0.19,0.19,0.19,0.20,0.18,0.21,0.16,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20130216,0.16,0.14,0.14,0.15,0.14,0.13,0.13,0.14,0.14,0.15,0.16,0.17,0.20,0.20,0.21,0.21,0.21,0.20,0.22,0.21,0.22,0.22,0.22,0.21
CO,010102,St Johns,NL,47.56038,-52.7115,20130217,0.23,0.22,0.23,0.24,0.25,0.27,0.27,0.33,0.27,0.16,0.15,0.19,0.23,0.20,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20130218,0.13,0.13,0.14,0.12,0.12,0.12,0.13,0.13,0.16,0.15,0.13,0.13,0.14,0.15,0.14,0.14,0.17,0.18,0.14,0.14,0.15,0.15,0.16,0.14
CO,010102,St Johns,NL,47.56038,-52.7115,20130219,0.14,0.13,0.12,0.12,0.13,0.13,0.13,0.17,0.19,0.17,0.16,0.19,0.18,0.16,0.19,0.18,0.18,0.18,0.16,0.16,0.16,0.15,0.17,0.16
CO,010102,St Johns,NL,47.56038,-52.7115,20130220,0.14,0.15,0.14,0.13,0.13,0.12,0.12,0.14,0.15,0.15,0.15,0.14,0.15,0.16,0.17,0.26,0.24,0.26,0.21,0.22,0.25,0.38,0.24,0.21
CO,010102,St Johns,NL,47.56038,-52.7115,20130221,0.26,0.19,0.27,0.15,0.15,0.13,0.13,0.17,0.23,0.19,0.21,0.28,0.22,0.19,0.43,0.20,0.31,0.37,0.25,0.24,0.22,0.34,0.36,0.42
CO,010102,St Johns,NL,47.56038,-52.7115,20130222,0.24,0.26,0.22,0.19,0.13,0.12,0.69,0.18,0.15,0.29,0.23,0.18,0.21,0.43,0.22,0.30,0.27,0.23,0.19,0.18,0.19,0.32,0.23,0.21
CO,010102,St Johns,NL,47.56038,-52.7115,20130223,0.25,0.18,0.19,0.27,0.18,0.13,0.13,0.13,0.15,0.16,0.21,0.15,0.20,0.16,0.17,0.21,0.20,0.24,0.27,0.19,0.22,0.20,0.22,0.29
CO,010102,St Johns,NL,47.56038,-52.7115,20130224,0.22,0.19,0.25,0.28,0.15,0.16,0.14,0.15,0.13,0.14,0.15,0.18,0.18,0.19,0.21,0.18,0.18,0.30,0.26,0.30,0.34,0.36,0.37,0.31
CO,010102,St Johns,NL,47.56038,-52.7115,20130225,0.32,0.30,0.27,0.22,0.21,0.25,0.30,0.48,0.71,0.51,0.18,0.18,0.21,0.19,0.19,0.23,0.34,0.31,0.24,0.49,0.20,0.21,0.19,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20130226,0.16,0.21,0.13,0.11,0.11,0.11,0.12,0.18,0.18,0.24,0.16,-999,0.20,0.24,0.21,0.25,0.28,0.23,0.19,0.17,0.19,0.19,0.24,0.26
CO,010102,St Johns,NL,47.56038,-52.7115,20130227,0.16,0.16,0.17,0.14,0.14,0.14,0.14,0.16,0.17,0.16,0.16,0.17,0.17,0.17,0.19,0.19,0.34,0.18,0.17,0.19,0.21,0.19,0.18,0.19
CO,010102,St Johns,NL,47.56038,-52.7115,20130228,0.18,0.15,0.17,0.14,0.14,0.14,0.15,0.16,0.18,0.18,0.18,0.19,0.19,0.25,0.23,0.17,0.22,0.21,0.20,0.21,0.20,0.27,0.24,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20130301,0.18,0.23,0.19,0.24,0.16,0.14,0.14,0.22,0.28,0.29,0.29,0.22,0.25,0.32,0.34,0.39,0.49,0.39,0.37,0.36,0.41,0.44,0.71,0.35
CO,010102,St Johns,NL,47.56038,-52.7115,20130302,0.20,0.20,0.24,0.31,0.23,0.19,0.17,0.18,0.25,0.23,0.28,0.24,0.25,0.29,0.30,0.25,0.24,0.29,0.23,0.25,0.21,0.24,0.38,0.24
CO,010102,St Johns,NL,47.56038,-52.7115,20130303,0.23,0.23,0.25,0.39,0.26,0.15,0.15,0.18,0.22,0.21,0.24,0.21,0.25,0.35,0.44,0.35,0.57,0.39,0.31,0.27,0.24,0.28,0.44,0.20
CO,010102,St Johns,NL,47.56038,-52.7115,20130304,0.24,0.25,0.22,0.19,0.17,0.17,0.15,0.24,0.30,0.24,0.27,0.35,0.35,0.46,0.35,0.26,0.45,0.28,0.24,0.21,0.22,0.23,0.23,0.18
CO,010102,St Johns,NL,47.56038,-52.7115,20130305,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.27,0.18,0.17,0.18,-999,-999,0.21,0.21,0.24,0.27,0.29,0.27,0.26,0.23,0.23,0.23,0.23
CO,010102,St Johns,NL,47.56038,-52.7115,20130306,0.21,0.20,0.19,0.17,0.16,0.15,0.14,0.16,0.20,0.19,0.18,0.19,0.19,0.20,0.20,0.23,0.26,0.24,0.24,0.22,0.22,0.22,0.21,0.24
CO,010102,St Johns,NL,47.56038,-52.7115,20130307,0.28,0.22,0.18,0.19,0.16,0.14,0.15,0.19,0.21,0.19,0.19,0.18,0.21,0.22,0.22,0.25,0.33,0.34,0.30,0.31,0.30,0.34,0.31,0.32
CO,010102,St Johns,NL,47.56038,-52.7115,20130308,0.28,0.25,0.26,0.28,0.21,0.18,0.18,0.21,0.24,0.23,0.22,0.23,0.24,0.22,0.24,0.25,0.31,0.34,0.32,0.31,0.31,0.31,0.37,0.34
CO,010102,St Johns,NL,47.56038,-52.7115,20130309,0.32,0.34,0.30,0.33,0.28,0.21,0.21,0.20,0.21,0.20,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.25,0.26,0.25,0.24,0.23,0.30,0.29
CO,010102,St Johns,NL,47.56038,-52.7115,20130310,-999,0.34,0.27,0.44,0.26,0.22,0.19,0.18,0.18,0.18,0.17,0.18,0.19,0.20,0.20,0.21,0.22,0.23,0.22,0.27,0.24,0.25,0.33,0.21
CO,010102,St Johns,NL,47.56038,-52.7115,20130311,0.24,0.20,0.22,0.20,0.18,0.17,0.17,0.23,0.21,0.23,0.22,0.26,0.27,0.25,0.25,0.29,0.40,0.48,0.48,0.42,0.38,0.35,0.33,0.31
CO,010102,St Johns,NL,47.56038,-52.7115,20130312,0.31,0.26,0.24,0.22,0.21,0.21,0.20,0.29,0.39,0.40,0.33,0.29,0.27,0.26,0.23,0.22,0.24,0.24,0.23,0.23,0.24,0.23,0.23,0.23
CO,010102,St Johns,NL,47.56038,-52.7115,20130313,0.22,0.20,0.20,0.20,0.18,0.18,0.20,0.25,0.31,0.28,0.25,0.25,0.25,0.24,0.23,0.25,0.29,0.29,0.29,0.28,0.28,0.28,0.26,0.25
CO,010102,St Johns,NL,47.56038,-52.7115,20130314,0.22,0.20,0.19,0.17,0.16,0.16,0.16,0.21,0.24,0.24,0.23,0.21,0.21,0.23,0.23,0.23,0.25,0.26,0.24,0.23,0.21,0.20,0.19,0.18
