*DESCRIPTION
*MEANS REPORT
************DESCRIPTION************
"File generated on","2022-03-25"
"",""
"NAPS Means Datafile",""
"",""
"Units:",""
"SO2 NO2 O3 NO and NOx are ppb",""
"CO is ppm",""
"PM10 and PM2.5 are in ug/m3",""
"",""
"Reporting criteria:",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
************MEANS REPORT************
"NAPS ID","City","Location","Latitude","Longitude","Elevation","LandUse","Pollutant","January","February","March","April","May","June","July","August","September","October","November","December","Average","StdDeviation","%Complete"
"020301","Wellington","40 Route 125 (Hackmatack Road)","46.47843","-63.98763","6","RB,NU,P2,F","PM2.5","4","4","3","3","5","4","3","3","2","","","","","","72"
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NO","0","0","0","0","0","0","0","0","","","0","","","","78"
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NO2","1","1","0","1","1","1","1","1","","","0","","","","78"
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","NOX","1","1","0","1","1","1","1","1","","","0","","","","78"
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","O3","35","35","41","39","34","27","23","22","20","23","29","32","30","10","97"
"020401","Southampton","2580 Route 313 (Cardigan Road)","46.38635","-62.58272","30","RB,NU,P1,A","PM2.5","3","4","2","2","1","1","2","2","2","2","4","4","2","3","86"
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","CO","0.15","0.16","0.15","0.16","0.15","0.13","0.14","0.2","0.17","0.16","0.15","0.16","0.16","0.04","95"
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","NO","2","2","2","3","3","3","3","4","5","2","2","2","3","6","99"
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","NO2","6","7","5","6","6","5","5","6","6","5","5","6","6","5","99"
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","NOX","8","9","7","9","9","8","8","9","10","7","7","8","8","10","99"
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","O3","29","31","37","36","31","25","21","23","20","24","25","25","27","9","99"
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","PM2.5","7","7","5","5","5","5","6","7","","4","5","4","5","4","87"
"030113","Halifax","1672 Granville Street","44.64711","-63.57366","28","PE,LU,P4,R","SO2","0.4","0.1","0.2","0.2","0.2","0.2","0.2","0.3","0.4","0.3","0.6","0.8","0.3","0.7","99"
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","CO","","","","","","","","","","","","","","","3"
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","NO","","","","","","","","","","","","","","","3"
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","NO2","","","","","","","","","","","","","","","3"
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","NOX","","","","","","","","","","","","","","","3"
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","O3","","","","","","","","","","","","","","","3"
"030118","Halifax","1649 Barrington Street","44.646425","-63.573383","18","PE,LU,P4,R","SO2","","","","","","","","","","","","","","","3"
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NO","0","0","0","0","0","0","0","0","0","0","0","1","0","1","99"
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NO2","1","2","1","1","1","1","1","1","1","1","1","2","1","1","99"
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","NOX","2","2","1","2","2","1","1","2","1","1","1","2","1","2","99"
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","O3","33","34","39","38","32","27","21","23","22","24","29","29","29","9","99"
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","PM2.5","5","5","4","5","6","5","5","5","3","","4","5","5","3","87"
"030120","Halifax","341 Cherrybrook Road","44.719799","-63.480754","68","PE,LU,P2,F","SO2","0.3","0.3","0.4","0.2","0.2","0.3","0.3","0.3","0.2","0.1","0.3","1.1","0.3","0.6","99"
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","NO","2","1","1","1","1","1","1","0","1","2","1","3","1","4","98"
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","NO2","3","3","2","3","3","2","1","2","2","3","3","4","3","4","98"
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","NOX","5","4","3","5","4","2","2","2","2","5","4","8","4","8","98"
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","O3","32","34","39","36","31","26","21","24","22","24","29","32","29","9","99"
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","PM2.5","6","6","5","6","5","4","5","6","4","4","5","7","5","3","98"
"030201","Port Hawkesbury","23 Embree Street","45.614161","-61.362356","14","PS,SU,P2,R","SO2","0.6","0.7","0.4","0.9","1.4","1.3","1.3","0.6","1.1","0.7","0.5","0.6","0.8","2.9","97"
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","CO","0.2","0.19","0.17","0.18","0.16","0.15","0.16","0.2","0.19","0.17","0.15","0.17","0.17","0.05","98"
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","NO","1","2","1","2","1","1","1","1","1","2","1","2","1","2","99"
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","NO2","4","4","2","3","2","2","2","2","2","3","3","4","3","3","99"
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","NOX","5","5","4","4","4","3","3","3","4","5","4","5","4","4","99"
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","O3","33","34","39","37","32","28","23","23","21","24","29","32","30","9","99"
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","PM2.5","4","5","5","5","4","4","5","5","3","4","4","5","4","3","95"
"030310","Sydney","71 Welton Street","46.14222","-60.17252","27","PE,SU,P3,R","SO2","0.4","0.4","1.5","1","0.5","0.4","0.2","0.3","0.6","0.3","0.4","0.3","0.5","2.6","99"
"030502","Kejimkujik","National Park","44.43244","-65.20264","124","RB,NU,P1,F","O3","34","35","40","39","36","29","25","25","20","23","28","29","30","10","100"
"030701","Aylesford","1009 Mountain Brow Road, Kings County","45.07267","-64.84033","235","RB,NU,P2,F","O3","36","38","42","43","38","32","26","28","25","26","31","33","33","9","100"
"030701","Aylesford","1009 Mountain Brow Road, Kings County","45.07267","-64.84033","235","RB,NU,P2,F","PM2.5","8","8","6","5","7","7","","","8","8","","7","","","75"
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","NO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97"
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","NO2","1","2","1","1","1","1","1","1","1","1","1","2","1","1","97"
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","NOX","2","1","1","2","1","1","2","1","1","1","2","2","1","2","97"
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","O3","30","31","34","34","31","26","23","24","21","22","25","27","27","8","99"
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","PM2.5","5","5","5","5","5","5","","8","5","5","4","6","5","3","93"
"030901","Pictou","91 Beeches Road","45.68167","-62.69664","12","PE,SU,P2,R","SO2","0.3","0.5","0.5","0.6","0.3","0.2","0.1","0.2","0.3","0.3","0.4","0.8","0.4","1.2","98"
